Filename,Ticker,Date,Total_Words,Net_Sentiment,Negative,Positive,Uncertainty,Litigious,StrongModal,WeakModal,Constraining
2016-Apr-14-TSCO.L-139810984905-Transcript.txt,TSCO.L,2016-04-14,3061,0.0029402156158118264,28,37,22,0,0,0,3
2016-Apr-13-TSCO.L-137046574372-Transcript.txt,TSCO.L,2016-04-13,17625,0.010212765957446808,143,323,89,5,0,0,18
2016-Oct-05-TSCO.L-139932963486-Transcript.txt,TSCO.L,2016-10-05,7183,0.0018098287623555618,64,77,55,5,0,0,12
2016-Oct-05-TSCO.L-138488445184-Transcript.txt,TSCO.L,2016-10-05,7183,0.0018098287623555618,64,77,55,5,0,0,12
2017-Apr-12-TSCO.L-140153460189-Transcript.txt,TSCO.L,2017-04-12,20775,0.007605294825511432,164,322,76,12,0,0,24
2017-Oct-04-TSCO.L-138456938442-Transcript.txt,TSCO.L,2017-10-04,11831,0.015383315019863071,56,238,55,5,0,0,5
2017-Oct-04-TSCO.L-139408526789-Transcript.txt,TSCO.L,2017-10-04,11831,0.015383315019863071,56,238,55,5,0,0,5
2018-Apr-11-TSCO.L-138743165366-Transcript.txt,TSCO.L,2018-04-11,8339,0.007794699604269097,50,115,51,8,0,0,8
2018-Apr-11-TSCO.L-139959883222-Transcript.txt,TSCO.L,2018-04-11,8339,0.007794699604269097,50,115,51,8,0,0,8
2018-Oct-03-TSCO.L-139272056987-Transcript.txt,TSCO.L,2018-10-03,12733,0.0062043508992382,124,203,49,8,0,0,13
2016-Mar-01-BARC.L-139824873187-Transcript.txt,BARC.L,2016-03-01,8170,0.003916768665850673,79,111,91,32,0,0,54
2016-Mar-01-BARC.L-137548274670-Transcript.txt,BARC.L,2016-03-01,8170,0.003916768665850673,79,111,91,32,0,0,54
2016-Jul-29-BARC.L-138523614655-Transcript.txt,BARC.L,2016-07-29,6389,0.0018782282047268744,74,86,61,33,0,0,29
2016-Jul-29-BARC.L-139004361518-Transcript.txt,BARC.L,2016-07-29,6389,0.0018782282047268744,74,86,61,33,0,0,29
2017-Feb-23-BARC.L-139508609743-Transcript.txt,BARC.L,2017-02-23,13417,0.004993664753670716,149,216,141,40,0,0,34
2017-Feb-23-BARC.L-138555219749-Transcript.txt,BARC.L,2017-02-23,13417,0.004993664753670716,149,216,141,40,0,0,34
2017-Jul-28-BARC.L-141010579615-Transcript.txt,BARC.L,2017-07-28,12811,0.004683475138552806,142,202,105,21,0,0,31
2017-Jul-28-BARC.L-138477306147-Transcript.txt,BARC.L,2017-07-28,12811,0.004683475138552806,142,202,105,21,0,0,31
2017-Oct-26-BARC.L-137754650048-Transcript.txt,BARC.L,2017-10-26,14033,-0.008907575001781515,260,135,194,31,0,0,33
2018-Feb-22-BARC.L-136963783161-Transcript.txt,BARC.L,2018-02-22,7445,0.0002686366689053056,82,84,69,31,0,0,44
2018-Feb-22-BARC.L-137901359180-Transcript.txt,BARC.L,2018-02-22,7445,0.0002686366689053056,82,84,69,31,0,0,44
2018-Apr-26-BARC.L-139732542527-Transcript.txt,BARC.L,2018-04-26,13654,0.0007323861139592793,192,202,143,35,0,0,38
2018-Aug-02-BARC.L-139224686385-Transcript.txt,BARC.L,2018-08-02,11859,0.0021081035500463783,175,200,136,38,0,0,24
2018-Aug-02-BARC.L-137366822025-Transcript.txt,BARC.L,2018-08-02,11859,0.0021081035500463783,175,200,136,38,0,0,24
2018-Oct-24-BARC.L-140944839383-Transcript.txt,BARC.L,2018-10-24,12023,0.001330782666555768,174,190,114,39,0,0,32
2016-Feb-04-AZN.L-137149101673-Transcript.txt,AZN.L,2016-02-04,13173,0.004099294010475973,147,201,157,23,0,0,41
2016-Apr-29-AZN.L-138460076277-Transcript.txt,AZN.L,2016-04-29,12564,0.004536771728748806,135,192,111,13,0,0,12
2016-Jul-28-AZN.L-140055454105-Transcript.txt,AZN.L,2016-07-28,13054,0.0032940094990041367,154,197,146,26,0,0,19
2016-Nov-10-AZN.L-140407419257-Transcript.txt,AZN.L,2016-11-10,8834,0.0038487661308580483,125,159,71,14,0,0,12
2017-Feb-02-AZN.L-140607754798-Transcript.txt,AZN.L,2017-02-02,16405,0.004084120694910089,196,263,128,24,0,0,22
